ranking,objectid,pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_insol,st_teff,st_lum,st_mass,st_rad,st_met,st_logg,st_age,distancia_tierra,indice_habitabilidad,orig_idx
41,3.11401,MOA-2009-BLG-266L b,MOA-2009-BLG-266L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.12607238528627113,0.02121334703173934,0.41060178144688236,0.05563896147734864,0.001425587684288361,0.06132533913733864,0.024292596865033586,0.3525641025641025,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.9172314872324865,0.34279076047841445,3045
42,3.18735,KMT-2021-BLG-1391L b,KMT-2021-BLG-1391L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.05533493833831809,0.008011423613050496,0.2433195741907451,0.04203369669106357,0.0013029626907484226,0.06132533913733864,0.024292596865033586,0.5048076923076922,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.9189500297320958,0.3425889411651837,4255
43,3.4037,Kepler-1567 b,Kepler-1567,1.7328636152629304,0.7177255789065577,0.10121212121212121,0.09869014775803124,0.01557149941691505,0.36715185748424933,0.03833786119561402,0.002678067132545323,0.03367418175844934,0.04133473569926036,0.040064102564102595,0.04094034593890481,0.039473684210526314,0.04629629629629604,0.05476311767702492,1.9202276295122878,0.34243905848086637,761
44,3.3945,Kepler-1554 b,Kepler-1554,1.7328636152629304,0.64840418203315,0.10121212121212121,0.10838802354928286,0.017489727605955307,0.38453182706930256,0.01686865892607017,2.176026689241704e-05,0.13168521484401735,0.13337857094388275,0.1282051282051282,0.11112379611988454,0.13157894736842105,0.11111111111111015,0.010188487009679071,1.9202525130477075,0.34243614055017274,5869
45,3.1189,MOA-2013-BLG-605L b,MOA-2013-BLG-605L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.03536872347397652,0.005055095462882567,0.14338474907668902,0.008234570574504411,3.0356298538280477e-05,0.06132533913733864,0.024292596865033586,0.5528846153846153,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.921203846913199,0.34232462108273887,641
46,3.19002,OGLE-2018-BLG-1126L b,OGLE-2018-BLG-1126L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.19452797910687084,0.037909584404579144,0.4746904192917662,0.05598672023088636,0.0014279676100408096,0.06132533913733864,0.024292596865033586,0.2483974358974359,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.9216884323530643,0.342267843801066,4613
47,3.1184,KIC 10525077 b,KIC 10525077,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.2567084768272489,0.056192802243649954,0.5056484901151421,0.01685832212539332,0.0008847818375582906,0.08569121049101337,0.04376399538576372,0.008012820512820519,0.005848620848414983,0.05263157894736842,0.018518518518518906,0.0789607743250127,1.9222349820060456,0.34220382897255014,4737
48,3.18725,OGLE-2017-BLG-1806L b,OGLE-2017-BLG-1806L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.06560327741140805,0.009636275726119891,0.28242450575711486,0.029322684702844454,0.0011239168466298836,0.06132533913733864,0.024292596865033586,0.4967948717948717,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.9223074167445247,0.34219534682426,5747
49,3.18729,OGLE-2018-BLG-0506L b,OGLE-2018-BLG-0506L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.1814073236245892,0.034528107402724675,0.4649141864001737,0.05318881292019258,0.0014078533291506535,0.06132533913733864,0.024292596865033586,0.2964743589743589,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.924685276328217,0.3419171314239478,3730
50,3.9339,Kepler-289 e,Kepler-289,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.11066987667663618,0.03701052035324736,0.28133825765804904,0.015846315960853796,0.0009014967712572767,0.058040053112124075,0.02069620682635543,0.04887820512820507,0.008772931272622474,0.012894736842105263,0.027777777777777127,0.5030565461029036,1.9247202633459837,0.34191304123422883,2964
51,3.455,Kepler-630 b,Kepler-630,1.7328636152629304,0.7016888980028645,0.10121212121212121,0.12436099544075614,0.020761999222553396,0.40951553334781654,0.044983090469520454,0.007100064226040067,0.013962465607161923,0.1025751509805252,0.016025641025641038,0.02339448339365993,0.039473684210526314,0.018518518518518906,0.016556291390728464,1.9247849346046075,0.34190548103845003,2835
52,3.19912,KMT-2023-BLG-1431L b,KMT-2023-BLG-1431L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.1574478657873793,0.028434911978714436,0.4453617206169888,0.05563896147734864,0.001425587684288361,0.06132533913733864,0.024292596865033586,0.34455128205128205,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.9259278482543924,0.3417719273551464,3215
53,3.3,Kepler-201 c,Kepler-201,1.7328636152629304,0.6840821923953131,0.10121212121212121,0.10553570714009121,0.01692554284447288,0.37910058657397344,0.06287409236080699,0.007822815947823919,0.07857309076971514,0.11812444866662143,0.07852564102564108,0.13393341742870304,0.05815789473684211,0.13518518518518563,0.0674987264391237,1.9262994357966168,0.34172852845039536,2488
54,3.3068,Kepler-1690 b,Kepler-1690,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.1033161617237701,0.016474195035286937,0.375841842276776,0.006134057791298243,0.00031086095560595736,0.10239141445252077,0.08247268779263078,0.048076923076923114,0.08050860542677156,0.0,0.09243518518518486,0.41709118695873665,1.9266782560552698,0.341684296157601,1637
55,3.7241,Kepler-1143 c,Kepler-1143,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.14832045327796603,0.026178172932784717,0.437757983923528,0.010734601134771926,0.0006714596641088682,0.19848603069004694,0.21128791477234174,0.15224358974358967,0.13451827951354448,0.07894736842105263,0.12962962962962907,0.02419765664798782,1.9273368089186809,0.34160742862020943,1686
56,3.18724,KMT-2019-BLG-1367L b,KMT-2019-BLG-1367L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.04848937895625813,0.006950756261463529,0.2139908755159678,0.02784777393609306,0.001098227601589578,0.06132533913733864,0.024292596865033586,0.5528846153846153,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.9282346998659785,0.34150268079459917,5437
57,3.11398,MOA-2007-BLG-192L b,MOA-2007-BLG-192L,1.7328636152629304,0.6087850892510982,0.10121212121212121,0.03593918675581484,0.005190499805638349,0.14338474907668902,0.03938045620428167,0.0018745793008261033,0.06132533913733864,0.024292596865033586,0.5528846153846153,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.9300185837206596,0.34129476364281564,1616
58,3.20458,MOA-2022-BLG-033L b,MOA-2022-BLG-033L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.14375674702325938,0.025162640362116347,0.4323267434281989,0.03920366730898529,0.0012691640446793914,0.06132533913733864,0.024292596865033586,0.39262820512820507,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.9306321107789806,0.3412233136741935,3388
59,3.12155,OGLE-2017-BLG-1434L b,OGLE-2017-BLG-1434L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.0536235484928031,0.007740614927538929,0.23680208559635013,0.007318631445787087,0.0006076924253206486,0.06132533913733864,0.024292596865033586,0.5528846153846153,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.9308509230216195,0.34119783853387875,1027
60,3.12533,OGLE-2018-BLG-0677L b,OGLE-2018-BLG-0677L,1.7328636152629304,0.5927644290076483,0.10121212121212121,0.046777989110743136,0.006679947575951963,0.20638713882250703,0.03802801087198435,0.001766589754376875,0.06132533913733864,0.024292596865033586,0.5528846153846153,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.930949956191703,0.34118630988136656,1852
61,3.1141,OGLE-2007-BLG-368L b,OGLE-2007-BLG-368L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.21221234084385907,0.04287804187266463,0.4844666521833586,0.05048062806018175,0.0013861844923266997,0.06132533913733864,0.024292596865033586,0.2884615384615384,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.93152275243662,0.34111964478830026,3821
62,3.5988,Kepler-1625 b,Kepler-1625,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.2886544206101954,0.06679947575951964,0.5164023462958939,0.04856129084777776,0.0035749009894685104,0.027651157378889298,0.14825269729252902,0.032051282051282076,0.0350917250904899,0.013157894736842105,0.03703703703703699,0.029291900152827247,1.9327419702295787,0.34097783240089097,3705
